"","LINEUP (NAMES)","NUMBERS","NUMBER OF GUARDS","OPPONENT POSSESSIONS","CMU POSSESSIONS","LINEUP SECONDS","OPPONENT PTS","CMU PTS","SCORE DIFFERENTIAL WHEN ENTER","CMU 3PA","CMU FGA","CMU FTA","CMU REBOUNDS","TOTAL REBOUNDS","QUARTER","game_id","LINEUP_SORTED"
"40","GIBBS,SAVANNAH, HEYER,ALLIE, LIGOTTI,PIPER, OR,CATHERINE, LAFOND,LIV","4 5 3 22 34",4,1,1,14,0,3,14,0,1,1,0,0,4,"brandeis","GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV LIGOTTI,PIPER OR,CATHERINE"
"41","PROUTY,ANNA, HEYER,ALLIE, LIGOTTI,PIPER, OR,CATHERINE, LAFOND,LIV","20 5 3 22 34",4,4,4,122,0,0,17,1,2,2,3,4,4,"brandeis","HEYER,ALLIE LAFOND,LIV LIGOTTI,PIPER OR,CATHERINE PROUTY,ANNA"
"42","PROUTY,ANNA, HEYER,ALLIE, LIGOTTI,PIPER, CHINTALA,ANISHA, LAFOND,LIV","20 5 3 10 34",4,1,1,47,3,2,17,0,1,0,0,1,4,"brandeis","CHINTALA,ANISHA HEYER,ALLIE LAFOND,LIV LIGOTTI,PIPER PROUTY,ANNA"
"43","GIBBS,SAVANNAH, HEYER,ALLIE, LIGOTTI,PIPER, CHINTALA,ANISHA, DELMORE,KAYLA","4 5 3 10 21",4,2,1,66,0,4,16,0,2,0,0,0,4,"brandeis","CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LIGOTTI,PIPER"
"44","GIBBS,SAVANNAH, HEYER,ALLIE, GLOWASKY,SAM, CHINTALA,ANISHA, DELMORE,KAYLA","4 5 11 10 21",4,2,2,74,4,3,20,2,2,0,0,2,4,"brandeis","CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH GLOWASKY,SAM HEYER,ALLIE"
"45","PROUTY,ANNA, HEYER,ALLIE, GLOWASKY,SAM, CHINTALA,ANISHA, DELMORE,KAYLA","20 5 11 10 21",4,1,0,20,2,0,19,0,0,0,0,1,4,"brandeis","CHINTALA,ANISHA DELMORE,KAYLA GLOWASKY,SAM HEYER,ALLIE PROUTY,ANNA"
"46","PROUTY,ANNA, HEYER,ALLIE, GLOWASKY,SAM, JOSEPH,JAMIE, DELMORE,KAYLA","20 5 11 32 21",3,1,1,22,0,0,17,0,1,0,0,1,4,"brandeis","DELMORE,KAYLA GLOWASKY,SAM HEYER,ALLIE JOSEPH,JAMIE PROUTY,ANNA"
"47","PROUTY,ANNA, PRASAD,ANIKA, GLOWASKY,SAM, JOSEPH,JAMIE, DELMORE,KAYLA","20 30 11 32 21",3,3,3,108,0,2,17,1,3,0,1,3,4,"brandeis","DELMORE,KAYLA GLOWASKY,SAM JOSEPH,JAMIE PRASAD,ANIKA PROUTY,ANNA"
"48","LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA","3 4 10 22 24",4,10,10,363,10,13,0,1,10,1,6,10,1,"brandeis2","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH LIGOTTI,PIPER OR,CATHERINE"
"49","LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, LAFOND,LIV","3 4 10 21 34",4,6,7,213,6,8,3,0,6,0,5,6,1,"brandeis2","CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH LAFOND,LIV LIGOTTI,PIPER"
"50","BLACK,AVA, OR,CATHERINE, MATSKO,MEGAN, DELMORE,KAYLA, LAFOND,LIV","1 22 13 21 34",4,2,2,68,0,2,5,0,1,0,2,2,1,"brandeis2","BLACK,AVA DELMORE,KAYLA LAFOND,LIV MATSKO,MEGAN OR,CATHERINE"
"51","BLACK,AVA, OR,CATHERINE, MATSKO,MEGAN, DELMORE,KAYLA, LAFOND,LIV","1 22 13 21 34",4,2,1,43,3,0,7,1,1,0,1,2,2,"brandeis2","BLACK,AVA DELMORE,KAYLA LAFOND,LIV MATSKO,MEGAN OR,CATHERINE"
"52","GIBBS,SAVANNAH, OR,CATHERINE, MATSKO,MEGAN, CHINTALA,ANISHA, ARIAS,AVA","4 22 13 10 24",4,1,2,75,0,3,4,1,1,0,1,2,2,"brandeis2","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH MATSKO,MEGAN OR,CATHERINE"
"53","GIBBS,SAVANNAH, OR,CATHERINE, LIGOTTI,PIPER, CHINTALA,ANISHA, ARIAS,AVA","4 22 3 10 24",4,1,1,46,0,0,7,1,2,0,2,3,2,"brandeis2","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH LIGOTTI,PIPER OR,CATHERINE"
"54","GIBBS,SAVANNAH, DELMORE,KAYLA, LIGOTTI,PIPER, CHINTALA,ANISHA, ARIAS,AVA","4 21 3 10 24",4,3,2,81,4,2,7,0,2,0,2,3,2,"brandeis2","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH LIGOTTI,PIPER"
"55","GIBBS,SAVANNAH, DELMORE,KAYLA, LIGOTTI,PIPER, CHINTALA,ANISHA, MATSKO,MEGAN","4 21 3 10 13",4,1,1,63,3,0,5,0,1,0,1,1,2,"brandeis2","CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH LIGOTTI,PIPER MATSKO,MEGAN"
"56","GIBBS,SAVANNAH, OR,CATHERINE, HEYER,ALLIE, CHINTALA,ANISHA, MATSKO,MEGAN","4 22 5 10 13",4,2,3,68,0,2,2,0,3,0,3,4,2,"brandeis2","CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE MATSKO,MEGAN OR,CATHERINE"
