"","LINEUP (NAMES)","NUMBERS","NUMBER OF GUARDS","OPPONENT POSSESSIONS","CMU POSSESSIONS","LINEUP SECONDS","OPPONENT PTS","CMU PTS","SCORE DIFFERENTIAL WHEN ENTER","CMU 3PA","CMU FGA","CMU FTA","CMU REBOUNDS","TOTAL REBOUNDS","QUARTER","game_id","LINEUP_SORTED"
"62","OR,CATHERINE, GIBBS,SAVANNAH, TIMKO,NICOLE, HEYER,ALLIE, LAFOND,LIV","22 4 24 5 43",3,1,0,34,2,0,18,0,0,0,0,1,4,"brandeis","GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV OR,CATHERINE TIMKO,NICOLE"
"63","OR,CATHERINE, BANEY,PAYTON, TIMKO,NICOLE, HEYER,ALLIE, ARIAS,AVA","22 15 24 5 23",4,2,3,65,3,2,16,0,1,2,1,2,4,"brandeis","ARIAS,AVA BANEY,PAYTON HEYER,ALLIE OR,CATHERINE TIMKO,NICOLE"
"64","OR,CATHERINE, BANEY,PAYTON, CHINTALA,ANISHA, HEYER,ALLIE, ARIAS,AVA","22 15 10 5 23",4,1,1,53,0,0,15,0,0,0,1,2,4,"brandeis","ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA HEYER,ALLIE OR,CATHERINE"
"65","OR,CATHERINE, PROUTY,ANNA, CHINTALA,ANISHA, HEYER,ALLIE, ARIAS,AVA","22 11 10 5 23",4,1,1,33,2,1,15,0,1,2,1,1,4,"brandeis","ARIAS,AVA CHINTALA,ANISHA HEYER,ALLIE OR,CATHERINE PROUTY,ANNA"
"66","OR,CATHERINE, PROUTY,ANNA, CHINTALA,ANISHA, KATZ,JUSTINE, ARIAS,AVA","22 11 10 2 23",4,1,1,35,0,0,14,0,0,2,1,1,4,"brandeis","ARIAS,AVA CHINTALA,ANISHA KATZ,JUSTINE OR,CATHERINE PROUTY,ANNA"
"67","OR,CATHERINE, PROUTY,ANNA, PEPER,ANYA, KATZ,JUSTINE, ARIAS,AVA","22 11 14 2 23",4,3,3,76,7,3,14,1,1,0,2,3,4,"brandeis","ARIAS,AVA KATZ,JUSTINE OR,CATHERINE PEPER,ANYA PROUTY,ANNA"
"68","OR,CATHERINE, PROUTY,ANNA, CHINTALA,ANISHA, KATZ,JUSTINE, DELMORE,KAYLA","22 11 10 2 21",4,2,1,37,3,2,10,0,0,3,0,0,4,"brandeis","CHINTALA,ANISHA DELMORE,KAYLA KATZ,JUSTINE OR,CATHERINE PROUTY,ANNA"
"69","PEPER,ANYA, PROUTY,ANNA, CHINTALA,ANISHA, KATZ,JUSTINE, DELMORE,KAYLA","14 11 10 2 21",4,1,0,5,2,0,9,0,0,1,0,2,4,"brandeis","CHINTALA,ANISHA DELMORE,KAYLA KATZ,JUSTINE PEPER,ANYA PROUTY,ANNA"
"70","BANEY,PAYTON, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA","15 4 10 22 33",3,4,5,175,4,3,0,1,3,2,3,5,1,"brandeis2","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"71","BANEY,PAYTON, ARIAS,AVA, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE","15 23 10 22 24",4,5,4,209,4,1,-1,0,3,2,2,7,1,"brandeis2","ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA OR,CATHERINE TIMKO,NICOLE"
"72","HEYER,ALLIE, ARIAS,AVA, GIBBS,SAVANNAH, OR,CATHERINE, TIMKO,NICOLE","5 23 4 22 24",4,4,4,194,7,2,-4,1,3,0,1,3,1,"brandeis2","ARIAS,AVA GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE TIMKO,NICOLE"
"73","CHINTALA,ANISHA, BANEY,PAYTON, GIBBS,SAVANNAH, OR,CATHERINE, NAMBISAN,ISHA","10 15 4 22 33",3,6,6,235,3,10,-9,3,6,0,1,5,1,"brandeis2","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"74","CHINTALA,ANISHA, BANEY,PAYTON, LAFOND,LIV, OR,CATHERINE, NAMBISAN,ISHA","10 15 43 22 33",3,2,2,38,0,0,-2,0,2,0,2,3,2,"brandeis2","BANEY,PAYTON CHINTALA,ANISHA LAFOND,LIV NAMBISAN,ISHA OR,CATHERINE"
"75","HEYER,ALLIE, BANEY,PAYTON, LAFOND,LIV, OR,CATHERINE, NAMBISAN,ISHA","5 15 43 22 33",3,2,2,141,4,0,-2,0,1,0,0,1,2,"brandeis2","BANEY,PAYTON HEYER,ALLIE LAFOND,LIV NAMBISAN,ISHA OR,CATHERINE"
"76","GIBBS,SAVANNAH, ARIAS,AVA, TIMKO,NICOLE, OR,CATHERINE, NAMBISAN,ISHA","4 23 24 22 33",4,2,2,56,1,2,-6,2,3,0,2,3,2,"brandeis2","ARIAS,AVA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"77","GIBBS,SAVANNAH, ARIAS,AVA, TIMKO,NICOLE, OR,CATHERINE, CHINTALA,ANISHA","4 23 24 22 10",4,3,2,150,1,4,-5,0,4,0,2,6,2,"brandeis2","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE"
"78","GIBBS,SAVANNAH, BANEY,PAYTON, TIMKO,NICOLE, OR,CATHERINE, CHINTALA,ANISHA","4 15 24 22 10",3,0,1,2,0,0,-2,0,1,0,0,0,2,"brandeis2","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE"
"79","GIBBS,SAVANNAH, BANEY,PAYTON, NAMBISAN,ISHA, OR,CATHERINE, CHINTALA,ANISHA","4 15 33 22 10",3,6,7,248,3,7,-2,2,8,0,6,10,3,"brandeis2","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"80","GIBBS,SAVANNAH, ARIAS,AVA, TIMKO,NICOLE, OR,CATHERINE, CHINTALA,ANISHA","4 23 24 22 10",4,4,3,125,2,6,2,3,3,0,3,3,3,"brandeis2","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE"
"81","GIBBS,SAVANNAH, ARIAS,AVA, TIMKO,NICOLE, NAMBISAN,ISHA, CHINTALA,ANISHA","4 23 24 33 10",4,2,3,100,0,5,6,1,2,1,2,3,3,"brandeis2","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA TIMKO,NICOLE"
"82","PROUTY,ANNA, BANEY,PAYTON, TIMKO,NICOLE, NAMBISAN,ISHA, CHINTALA,ANISHA","11 15 24 33 10",3,1,1,38,3,0,11,0,0,2,0,2,3,"brandeis2","BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA PROUTY,ANNA TIMKO,NICOLE"
